player,team,salary,name_clean
Zach Collins,CHI,18080496.0,zach collins
Patrick Williams,CHI,18000000.0,patrick williams
Isaac Okoro,CHI,11000000.0,isaac okoro
Jaden Ivey,CHI,10107163.0,jaden ivey
Jalen Smith,CHI,9000000.0,jalen smith
Tre Jones,CHI,8000000.0,tre jones
Jevon Carter,CHI,6809524.0,jevon carter
Rob Dillingham,CHI,6576120.0,rob dillingham
Guerschon Yabusele,CHI,5500000.0,guerschon yabusele
Matas Buzelis,CHI,5455560.0,matas buzelis
Noa Essengue,CHI,5429520.0,noa essengue
Nick Richards,CHI,5000000.0,nick richards
Leonard Miller,CHI,2221677.0,leonard miller
Mouhamadou Gueye,CHI,47092.0,mouhamadou gueye
Donovan Mitchell,CLE,46394100.0,donovan mitchell
Evan Mobley,CLE,46394100.0,evan mobley
James Harden,CLE,39446090.0,james harden
Jarrett Allen,CLE,20000000.0,jarrett allen
Max Strus,CLE,15936452.0,max strus
Dennis Schröder,CLE,14104000.0,dennis schroder
Sam Merrill,CLE,8482144.0,sam merrill
Dean Wade,CLE,6623456.0,dean wade
Jaylon Tyson,CLE,3492480.0,jaylon tyson
Keon Ellis,CLE,2301587.0,keon ellis
Larry Nance,CLE,2296274.0,larry nance
Thomas Bryant,CLE,2296274.0,thomas bryant
Craig Porter,CLE,2221677.0,craig porter
Tyrese Proctor,CLE,1272870.0,tyrese proctor
Nae'Qwan Tomlin,CLE,718150.0,naeqwan tomlin
Ricky Rubio,CLE,424672.0,ricky rubio
Kyrie Irving,DAL,36566002.0,kyrie irving
Khris Middleton,DAL,33296296.0,khris middleton
Klay Thompson,DAL,16666667.0,klay thompson
Daniel Gafford,DAL,14386320.0,daniel gafford
P.J. Washington,DAL,14152174.0,pj washington
Cooper Flagg,DAL,13825920.0,cooper flagg
Caleb Martin,DAL,9594044.0,caleb martin
Naji Marshall,DAL,9000000.0,naji marshall
Max Christie,DAL,7714286.0,max christie
Tyus Jones,DAL,7000000.0,tyus jones
Dereck Lively,DAL,5253360.0,dereck lively
Dwight Powell,DAL,4000000.0,dwight powell
AJ Johnson,DAL,3090480.0,aj johnson
Marvin Bagley,DAL,2296274.0,marvin bagley
Brandon Williams,DAL,2270735.0,brandon williams
JaVale McGee,DAL,2208856.0,javale mcgee
Olivier-Maxence Prosper,DAL,1002360.0,olivier-maxence prosper
Ryan Nembhard,DAL,321875.0,ryan nembhard
Jeremiah Robinson-Earl,DAL,131970.0,jeremiah robinson-earl
Nikola Jokić,DEN,55224526.0,nikola jokic
Jamal Murray,DEN,46394100.0,jamal murray
Aaron Gordon,DEN,22841455.0,aaron gordon
Cameron Johnson,DEN,21057065.0,cameron johnson
Jonas Valančiūnas,DEN,10395000.0,jonas valanciunas
Zeke Nnaji,DEN,8177778.0,zeke nnaji
Christian Braun,DEN,4921797.0,christian braun
Peyton Watson,DEN,4356476.0,peyton watson
DaRon Holmes,DEN,3218760.0,daron holmes
Julian Strawther,DEN,2674200.0,julian strawther
Bruce Brown,DEN,2296274.0,bruce brown
Tim Hardaway,DEN,2296274.0,tim hardaway
Jalen Pickett,DEN,2221677.0,jalen pickett
Spencer Jones,DEN,623967.0,spencer jones
Cade Cunningham,DET,46394100.0,cade cunningham
Tobias Harris,DET,26634146.0,tobias harris
Kevin Huerter,DET,17991071.0,kevin huerter
Duncan Robinson,DET,16834692.0,duncan robinson
Isaiah Stewart,DET,15000000.0,isaiah stewart
Caris LeVert,DET,14104000.0,caris levert
Ausar Thompson,DET,8775000.0,ausar thompson
Ron Holland,DET,8657280.0,ron holland
Jalen Duren,DET,6483144.0,jalen duren
Dario Šarić,DET,5426400.0,dario saric
Paul Reed,DET,5335894.0,paul reed
Daniss Jenkins,DET,3809524.0,daniss jenkins
Marcus Sasser,DET,2886720.0,marcus sasser
Javonte Green,DET,2296274.0,javonte green
Isaac Jones,DET,1955377.0,isaac jones
Bobi Klintman,DET,1955377.0,bobi klintman
Chaz Lanier,DET,1372870.0,chaz lanier
Tolu Smith,DET,70638.0,tolu smith
Stephen Curry,GSW,59606817.0,stephen curry
Jimmy Butler,GSW,54126450.0,jimmy butler
Kristaps Porziņģis,GSW,30731707.0,kristaps porzingis
Draymond Green,GSW,25892857.0,draymond green
Moses Moody,GSW,11574075.0,moses moody
Al Horford,GSW,5685000.0,al horford
Brandin Podziemski,GSW,3687960.0,brandin podziemski
De'Anthony Melton,GSW,3080921.0,deanthony melton
Gary Payton,GSW,2296274.0,gary payton
Gui Santos,GSW,2221677.0,gui santos
Quinten Post,GSW,1955377.0,quinten post
Seth Curry,GSW,1755198.0,seth curry
Will Richard,GSW,1272870.0,will richard
Pat Spencer,GSW,857804.0,pat spencer
Omer Yurtseven,GSW,131970.0,omer yurtseven
Kevin Durant,HOU,54708609.0,kevin durant
Alperen Şengün,HOU,33944954.0,alperen sengun
Fred VanVleet,HOU,25000000.0,fred vanvleet
Steven Adams,HOU,14130434.0,steven adams
Dorian Finney-Smith,HOU,12700000.0,dorian finney-smith
Jabari Smith,HOU,12350392.0,jabari smith
Reed Sheppard,HOU,10603560.0,reed sheppard
Amen Thompson,HOU,9690600.0,amen thompson
Clint Capela,HOU,6700000.0,clint capela
Tari Eason,HOU,5675766.0,tari eason
Jae'Sean Tate,HOU,2296274.0,jaesean tate
Aaron Holiday,HOU,2296274.0,aaron holiday
Jeff Green,HOU,2296274.0,jeff green
Josh Okogie,HOU,2296274.0,josh okogie
Tyrese Haliburton,IND,45550512.0,tyrese haliburton
Pascal Siakam,IND,45550512.0,pascal siakam
Ivica Zubac,IND,18893980.0,ivica zubac
Andrew Nembhard,IND,18102000.0,andrew nembhard
Obi Toppin,IND,14000000.0,obi toppin
Aaron Nesmith,IND,11000000.0,aaron nesmith
T.J. McConnell,IND,10200000.0,tj mcconnell
Jarace Walker,IND,6665520.0,jarace walker
Ben Sheppard,IND,2790720.0,ben sheppard
Kobe Brown,IND,2654880.0,kobe brown
Jay Huff,IND,2349578.0,jay huff
Johnny Furphy,IND,1955377.0,johnny furphy
Micah Potter,IND,1527805.0,micah potter
Kam Jones,IND,1272870.0,kam jones
James Wiseman,IND,1000000.0,james wiseman
Quenton Jackson,IND,601553.0,quenton jackson
Monte Morris,IND,321184.0,monte morris
Garrison Mathews,IND,297355.0,garrison mathews
Mac McClung,IND,164060.0,mac mcclung
Cody Martin,IND,131970.0,cody martin
Gabe McGlothan,IND,73153.0,gabe mcglothan
Kawhi Leonard,LAC,50000000.0,kawhi leonard
Darius Garland,LAC,39446090.0,darius garland
John Collins,LAC,26580000.0,john collins
Bogdan Bogdanović,LAC,16020000.0,bogdan bogdanovic
Derrick Jones,LAC,10000000.0,derrick jones
Bennedict Mathurin,LAC,9187573.0,bennedict mathurin
Brook Lopez,LAC,8750000.0,brook lopez
Isaiah Jackson,LAC,7600000.0,isaiah jackson
Nicolas Batum,LAC,5601600.0,nicolas batum
Kris Dunn,LAC,5426400.0,kris dunn
Bradley Beal,LAC,5354000.0,bradley beal
Yanic Konan Niederhäuser,LAC,2743800.0,yanic konan niederhauser
Cam Christie,LAC,1955377.0,cam christie
Jordan Miller,LAC,712637.0,jordan miller
Kobe Sanders,LAC,475497.0,kobe sanders
Patrick Baldwin,LAC,131970.0,patrick baldwin
LeBron James,LAL,52627153.0,lebron james
Luka Dončić,LAL,45999660.0,luka doncic
Rui Hachimura,LAL,18259259.0,rui hachimura
Austin Reaves,LAL,13937574.0,austin reaves
Jarred Vanderbilt,LAL,11571429.0,jarred vanderbilt
Maxi Kleber,LAL,11000000.0,maxi kleber
Luke Kennard,LAL,11000000.0,luke kennard
Deandre Ayton,LAL,8104000.0,deandre ayton
Jake LaRavia,LAL,6000000.0,jake laravia
Marcus Smart,LAL,5134000.0,marcus smart
Dalton Knecht,LAL,4010160.0,dalton knecht
Jaxson Hayes,LAL,3449323.0,jaxson hayes
Bronny James,LAL,1955377.0,bronny james
Adou Thiero,LAL,1272870.0,adou thiero
Ja Morant,MEM,39446090.0,ja morant
Kentavious Caldwell-Pope,MEM,21621500.0,kentavious caldwell-pope
Santi Aldama,MEM,18485916.0,santi aldama
Brandon Clarke,MEM,12500000.0,brandon clarke
Kyle Anderson,MEM,9219512.0,kyle anderson
Ty Jerome,MEM,8781000.0,ty jerome
Georges Niang,MEM,8200000.0,georges niang
Taylor Hendricks,MEM,6127080.0,taylor hendricks
Zach Edey,MEM,6045000.0,zach edey
Cedric Coward,MEM,5715120.0,cedric coward
Walter Clayton,MEM,3991320.0,walter clayton
Cole Anthony,MEM,3700000.0,cole anthony
Cam Spencer,MEM,2537989.0,cam spencer
Eric Gordon,MEM,2296274.0,eric gordon
Scotty Pippen,MEM,2270735.0,scotty pippen
Gregory Jackson,MEM,2221677.0,gregory jackson
Jaylen Wells,MEM,1955377.0,jaylen wells
Taj Gibson,MEM,960753.0,taj gibson
Mamadi Diakite,MEM,464050.0,mamadi diakite
DeJon Jarreau,MEM,131970.0,dejon jarreau
Rayan Rupert,MEM,131970.0,rayan rupert
Christian Koloko,MEM,131970.0,christian koloko
Lawson Lovering,MEM,87784.0,lawson lovering
Tyler Burton,MEM,73153.0,tyler burton
Adama-Alpha Bal,MEM,73153.0,adama-alpha bal
Lucas Williamson,MEM,73153.0,lucas williamson
Toby Okani,MEM,73153.0,toby okani
Bam Adebayo,MIA,37096620.0,bam adebayo
Tyler Herro,MIA,31000000.0,tyler herro
Andrew Wiggins,MIA,28223215.0,andrew wiggins
Terry Rozier,MIA,26643031.0,terry rozier
Norman Powell,MIA,20482758.0,norman powell
Davion Mitchell,MIA,11600000.0,davion mitchell
Simone Fontecchio,MIA,8307692.0,simone fontecchio
Nikola Jović,MIA,4445417.0,nikola jovic
Kel'el Ware,MIA,4443360.0,kelel ware
Jaime Jaquez,MIA,3861600.0,jaime jaquez
Kasparas Jakučionis,MIA,3658800.0,kasparas jakucionis
Dru Smith,MIA,2378870.0,dru smith
Keshad Johnson,MIA,1955377.0,keshad johnson
Pelle Larsson,MIA,1955377.0,pelle larsson
Myron Gardner,MIA,395029.0,myron gardner
Jahmir Young,MIA,23546.0,jahmir young
Giannis Antetokounmpo,MIL,54126450.0,giannis antetokounmpo
Myles Turner,MIL,25318251.0,myles turner
Damian Lillard,MIL,22516603.0,damian lillard
Kyle Kuzma,MIL,22410605.0,kyle kuzma
Bobby Portis,MIL,13445754.0,bobby portis
Ousmane Dieng,MIL,6670882.0,ousmane dieng
Kevin Porter,MIL,5134000.0,kevin porter
Ryan Rollins,MIL,4000000.0,ryan rollins
Gary Trent,MIL,3697105.0,gary trent
Gary Harris,MIL,3634153.0,gary harris
Taurean Prince,MIL,3303774.0,taurean prince
Jericho Sims,MIL,2461463.0,jericho sims
A.J. Green,MIL,2301587.0,aj green
Thanasis Antetokounmpo,MIL,2296274.0,thanasis antetokounmpo
Chris Livingston,MIL,2296274.0,chris livingston
Andre Jackson,MIL,2221677.0,andre jackson
Nigel Hayes-Davis,MIL,2048494.0,nigel hayes-davis
Tyler Smith,MIL,1955377.0,tyler smith
Vasilije Micić,MIL,666667.0,vasilije micic
Pete Nance,MIL,600000.0,pete nance
Anthony Edwards,MIN,45550512.0,anthony edwards
Rudy Gobert,MIN,35000000.0,rudy gobert
Julius Randle,MIN,30864198.0,julius randle
Jaden McDaniels,MIN,24393104.0,jaden mcdaniels
Naz Reid,MIN,21551724.0,naz reid
Donte DiVincenzo,MIN,11990000.0,donte divincenzo
Ayo Dosunmu,MIN,7518518.0,ayo dosunmu
Joan Beringer,MIN,4201080.0,joan beringer
Terrence Shannon,MIN,2674080.0,terrence shannon
Joe Ingles,MIN,2296274.0,joe ingles
Bones Hyland,MIN,2296274.0,bones hyland
Julian Phillips,MIN,2221677.0,julian phillips
Jaylen Clark,MIN,2191897.0,jaylen clark
Zion Williamson,NOP,39446090.0,zion williamson
Jordan Poole,NOP,31848215.0,jordan poole
Dejounte Murray,NOP,30801103.0,dejounte murray
Trey Murphy,NOP,25000000.0,trey murphy
Herbert Jones,NOP,13937574.0,herbert jones
Kevon Looney,NOP,8000000.0,kevon looney
Jeremiah Fears,NOP,7520040.0,jeremiah fears
Saddiq Bey,NOP,6118644.0,saddiq bey
Dalen Terry,NOP,5399118.0,dalen terry
Derik Queen,NOP,5157960.0,derik queen
Jordan Hawkins,NOP,4741320.0,jordan hawkins
Yves Missi,NOP,3353040.0,yves missi
DeAndre Jordan,NOP,2269880.0,deandre jordan
Karlo Matković,NOP,1955377.0,karlo matkovic
Micah Peavy,NOP,1272870.0,micah peavy
Bryce McGowens,NOP,724598.0,bryce mcgowens
Jaden Springer,NOP,70732.0,jaden springer
Karl-Anthony Towns,NYK,53142264.0,karl-anthony towns
OG Anunoby,NYK,39568966.0,og anunoby
Jalen Brunson,NYK,34944001.0,jalen brunson
Mikal Bridges,NYK,24900000.0,mikal bridges
Josh Hart,NYK,19472240.0,josh hart
Mitchell Robinson,NYK,12954546.0,mitchell robinson
Jose Alvarado,NYK,4500000.0,jose alvarado
Miles McBride,NYK,4333333.0,miles mcbride
Pacôme Dadiet,NYK,2847600.0,pacome dadiet
Jordan Clarkson,NYK,2296274.0,jordan clarkson
Landry Shamet,NYK,2296274.0,landry shamet
Tyler Kolek,NYK,2191897.0,tyler kolek
Ariel Hukporti,NYK,1955377.0,ariel hukporti
Mohamed Diawara,NYK,1272870.0,mohamed diawara
Jeremy Sochan,NYK,778622.0,jeremy sochan
Shai Gilgeous-Alexander,OKC,38333050.0,shai gilgeous-alexander
Isaiah Hartenstein,OKC,28500000.0,isaiah hartenstein
Luguentz Dort,OKC,18222222.0,luguentz dort
Alex Caruso,OKC,18102000.0,alex caruso
Chet Holmgren,OKC,13731368.0,chet holmgren
Isaiah Joe,OKC,12362338.0,isaiah joe
Aaron Wiggins,OKC,10102803.0,aaron wiggins
Jaylin Williams,OKC,8450704.0,jaylin williams
Kenrich Williams,OKC,7163000.0,kenrich williams
Jalen Williams,OKC,6580997.0,jalen williams
Cason Wallace,OKC,5820240.0,cason wallace
Nikola Topić,OKC,5182920.0,nikola topic
Thomas Sorber,OKC,4655040.0,thomas sorber
Jared McCain,OKC,4221360.0,jared mccain
Ajay Mitchell,OKC,3000000.0,ajay mitchell
Mason Plumlee,OKC,2296274.0,mason plumlee
Franz Wagner,ORL,38661750.0,franz wagner
Desmond Bane,ORL,36725670.0,desmond bane
Jalen Suggs,ORL,35000000.0,jalen suggs
Paolo Banchero,ORL,15334769.0,paolo banchero
Jonathan Isaac,ORL,15000000.0,jonathan isaac
Wendell Carter,ORL,10850000.0,wendell carter
Goga Bitadze,ORL,8333333.0,goga bitadze
Anthony Black,ORL,7970280.0,anthony black
Jett Howard,ORL,5529720.0,jett howard
Moritz Wagner,ORL,5000000.0,moritz wagner
Tristan Da Silva,ORL,3809520.0,tristan da silva
Jase Richardson,ORL,2983320.0,jase richardson
Noah Penda,ORL,1272870.0,noah penda
Jamal Cain,ORL,328120.0,jamal cain
Joel Embiid,PHI,55224526.0,joel embiid
Paul George,PHI,51666090.0,paul george
Tyrese Maxey,PHI,37958760.0,tyrese maxey
VJ Edgecombe,PHI,11108880.0,vj edgecombe
Quentin Grimes,PHI,8741209.0,quentin grimes
Kelly Oubre,PHI,8382150.0,kelly oubre
Andre Drummond,PHI,5000000.0,andre drummond
Dominick Barlow,PHI,3415000.0,dominick barlow
Trendon Watford,PHI,2461463.0,trendon watford
Kyle Lowry,PHI,2296274.0,kyle lowry
Justin Edwards,PHI,2048494.0,justin edwards
Adem Bona,PHI,1955377.0,adem bona
Johni Broome,PHI,1272870.0,johni broome
Jabari Walker,PHI,724598.0,jabari walker
Cameron Payne,PHI,712637.0,cameron payne
Emoni Bates,PHI,15000.0,emoni bates
Devin Booker,PHO,53142264.0,devin booker
Jalen Green,PHO,33584499.0,jalen green
Dillon Brooks,PHO,21124110.0,dillon brooks
Grayson Allen,PHO,16875000.0,grayson allen
Royce O'Neale,PHO,10125000.0,royce oneale
Mark Williams,PHO,6276531.0,mark williams
Khaman Maluach,PHO,6016080.0,khaman maluach
Nassir Little,PHO,3107143.0,nassir little
Ryan Dunn,PHO,2657760.0,ryan dunn
Jordan Goodwin,PHO,2349578.0,jordan goodwin
Collin Gillespie,PHO,2296274.0,collin gillespie
Amir Coffey,PHO,2296274.0,amir coffey
Oso Ighodaro,PHO,1955377.0,oso ighodaro
Rasheer Fleming,PHO,1272870.0,rasheer fleming
E.J. Liddell,PHO,706898.0,ej liddell
Jamaree Bouyea,PHO,574210.0,jamaree bouyea
Jrue Holiday,POR,32400000.0,jrue holiday
Jerami Grant,POR,32000001.0,jerami grant
Deni Avdija,POR,14375000.0,deni avdija
Robert Williams,POR,13285713.0,robert williams
Matisse Thybulle,POR,11550000.0,matisse thybulle
Scoot Henderson,POR,10748040.0,scoot henderson
Shaedon Sharpe,POR,8399983.0,shaedon sharpe
Donovan Clingan,POR,7178400.0,donovan clingan
Yang Hansen,POR,4422360.0,yang hansen
Kris Murray,POR,3132000.0,kris murray
Vít Krejčí,POR,2349578.0,vit krejci
Blake Wesley,POR,2296274.0,blake wesley
Toumani Camara,POR,2221677.0,toumani camara
Sidy Cissoko,POR,686243.0,sidy cissoko
Marcos Louzada Silva,POR,268032.0,marcos louzada silva
Zach LaVine,SAC,47499660.0,zach lavine
Domantas Sabonis,SAC,42336000.0,domantas sabonis
DeMar DeRozan,SAC,24570000.0,demar derozan
De'Andre Hunter,SAC,23303571.0,deandre hunter
Malik Monk,SAC,18797619.0,malik monk
Keegan Murray,SAC,11144093.0,keegan murray
Devin Carter,SAC,4923720.0,devin carter
Nique Clifford,SAC,3108120.0,nique clifford
Drew Eubanks,SAC,2296274.0,drew eubanks
Russell Westbrook,SAC,2296274.0,russell westbrook
Doug McDermott,SAC,2296274.0,doug mcdermott
Precious Achiuwa,SAC,2111516.0,precious achiuwa
Maxime Raynaud,SAC,1272870.0,maxime raynaud
Killian Hayes,SAC,444658.0,killian hayes
DaQuan Jeffries,SAC,131970.0,daquan jeffries
De'Aaron Fox,SAS,37096620.0,deaaron fox
Devin Vassell,SAS,27000000.0,devin vassell
Harrison Barnes,SAS,19000000.0,harrison barnes
Keldon Johnson,SAS,17500000.0,keldon johnson
Kelly Olynyk,SAS,13445122.0,kelly olynyk
Victor Wembanyama,SAS,13376880.0,victor wembanyama
Dylan Harper,SAS,12370320.0,dylan harper
Luke Kornet,SAS,11000000.0,luke kornet
Stephon Castle,SAS,9560520.0,stephon castle
Carter Bryant,SAS,4900320.0,carter bryant
Julian Champagnie,SAS,3000000.0,julian champagnie
Jordan McLaughlin,SAS,2296274.0,jordan mclaughlin
Lindy Waters,SAS,2296274.0,lindy waters
Bismack Biyombo,SAS,2296274.0,bismack biyombo
Scottie Barnes,TOR,38661750.0,scottie barnes
Brandon Ingram,TOR,38095238.0,brandon ingram
Immanuel Quickley,TOR,32500000.0,immanuel quickley
RJ Barrett,TOR,27705357.0,rj barrett
Jakob Poeltl,TOR,19500000.0,jakob poeltl
Collin Murray-Boyles,TOR,6332520.0,collin murray-boyles
Gradey Dick,TOR,4990560.0,gradey dick
Ja'Kobe Walter,TOR,3638160.0,jakobe walter
Sandro Mamukelashvili,TOR,2461463.0,sandro mamukelashvili
Garrett Temple,TOR,2296274.0,garrett temple
Chris Paul,TOR,2296274.0,chris paul
Trayce Jackson-Davis,TOR,2221677.0,trayce jackson-davis
Jamison Battle,TOR,1955377.0,jamison battle
Jonathan Mogbo,TOR,1955377.0,jonathan mogbo
Jamal Shead,TOR,1955377.0,jamal shead
Mohamed Bamba,TOR,194771.0,mohamed bamba
Markelle Fultz,TOR,131970.0,markelle fultz
Tyreke Key,TOR,51207.0,tyreke key
A.J. Lawson,TOR,26394.0,aj lawson
Lauri Markkanen,UTA,46394100.0,lauri markkanen
Jaren Jackson,UTA,35000000.0,jaren jackson
Jusuf Nurkić,UTA,19375000.0,jusuf nurkic
Lonzo Ball,UTA,10000000.0,lonzo ball
Ace Bailey,UTA,9069840.0,ace bailey
John Konchar,UTA,6165000.0,john konchar
Cody Williams,UTA,5742480.0,cody williams
Walker Kessler,UTA,4878938.0,walker kessler
Keyonte George,UTA,4278960.0,keyonte george
Kevin Love,UTA,4150000.0,kevin love
Svi Mykhailiuk,UTA,3675000.0,svi mykhailiuk
Kyle Filipowski,UTA,3000000.0,kyle filipowski
Brice Sensabaugh,UTA,2693760.0,brice sensabaugh
Isaiah Collier,UTA,2638200.0,isaiah collier
Vince Williams,UTA,2301587.0,vince williams
Chris Boucher,UTA,2296274.0,chris boucher
Kennedy Chandler,UTA,117730.0,kennedy chandler
Andersson Garcia,UTA,73153.0,andersson garcia
Bez Mbeng,UTA,73153.0,bez mbeng
Hayden Gray,UTA,14631.0,hayden gray
Anthony Davis,WAS,54126450.0,anthony davis
Trae Young,WAS,46394100.0,trae young
Alex Sarr,WAS,11808240.0,alex sarr
Tre Johnson,WAS,8237640.0,tre johnson
Bilal Coulibaly,WAS,7275600.0,bilal coulibaly
Jaden Hardy,WAS,6000000.0,jaden hardy
D'Angelo Russell,WAS,5685000.0,dangelo russell
Bub Carrington,WAS,4677600.0,bub carrington
Cam Whitmore,WAS,3539760.0,cam whitmore
Will Riley,WAS,3512520.0,will riley
Kyshawn George,WAS,2966760.0,kyshawn george
Tristan Vukcevic,WAS,2857143.0,tristan vukcevic
Dillon Jones,WAS,2753280.0,dillon jones
Justin Champagnie,WAS,2349578.0,justin champagnie
Anthony Gill,WAS,2296274.0,anthony gill
Danté Exum,WAS,2296274.0,dante exum
Jamir Watkins,WAS,1131970.0,jamir watkins
Skal Labissière,WAS,131970.0,skal labissiere
Alondes Williams,WAS,131970.0,alondes williams
Keshon Gilbert,WAS,73153.0,keshon gilbert
Kadary Richmond,WAS,73153.0,kadary richmond
